time,x,y,z,vx,vy,vz
2452198.5,-1.1541252,-0.7136363,-0.25705,0.0049396786,-0.014163708,-0.00074835983
2452199.5,-1.1491464,-0.72758347,-0.25787652,0.0050751786,-0.0140823,-0.00071851694
2452200.5,-1.1440337,-0.74145395,-0.25867173,0.005208994,-0.013999903,-0.0006888262
2452201.5,-1.1387888,-0.7552468,-0.2594359,0.0053411224,-0.0139165465,-0.00065929006
2452202.5,-1.1334128,-0.76896095,-0.260169,0.0054715658,-0.013832255,-0.0006299101
2452203.5,-1.1279079,-0.7825954,-0.2608712,0.005600339,-0.013747059,-0.0006006884
2452204.5,-1.122275,-0.7961495,-0.26154253,0.0057274383,-0.013660977,-0.0005716267
2452205.5,-1.1165159,-0.8096221,-0.26218322,0.0058528776,-0.013574041,-0.0005427267
2452206.5,-1.1106317,-0.8230122,-0.26279333,0.005976654,-0.013486273,-0.0005139897
2452207.5,-1.1046243,-0.8363191,-0.263373,0.0060987854,-0.0133977,-0.0004854177
2452208.5,-1.0984951,-0.8495421,-0.26392233,0.0062192664,-0.013308342,-0.0004570116
2452209.5,-1.0922453,-0.8626804,-0.2644415,0.006338116,-0.013218223,-0.00042877244
2452210.5,-1.0858767,-0.87573296,-0.2649306,0.0064553353,-0.013127369,-0.00040070247
2452211.5,-1.0793909,-0.8886991,-0.26538977,0.0065709306,-0.013035802,-0.00037280138
2452212.5,-1.072789,-0.9015783,-0.26581922,0.0066849166,-0.012943542,-0.00034507053
2452213.5,-1.0660723,-0.9143695,-0.26621905,0.006797302,-0.012850611,-0.00031751115
2452214.5,-1.0592432,-0.9270723,-0.26658943,0.006908085,-0.012757028,-0.00029012427
2452215.5,-1.0523021,-0.9396857,-0.26693046,0.007017285,-0.01266282,-0.00026291018
2452216.5,-1.045251,-0.9522095,-0.2672424,0.0071249083,-0.012568001,-0.00023586892
2452217.5,-1.0380917,-0.96464235,-0.26752535,0.007230964,-0.012472591,-0.00020900242
2452218.5,-1.030825,-0.9769842,-0.26777944,0.007335464,-0.012376612,-0.00018231072
2452219.5,-1.0234528,-0.9892345,-0.2680049,0.0074384133,-0.012280085,-0.00015579378
2452220.5,-1.0159762,-1.0013919,-0.2682019,0.0075398274,-0.012183022,-0.00012945292
2452221.5,-1.0083971,-1.0134567,-0.26837057,0.007639713,-0.012085446,-0.000103287835
2452222.5,-1.0007163,-1.0254277,-0.26851115,0.0077380813,-0.011987374,-7.729948e-05
2452223.5,-0.992936,-1.0373048,-0.26862368,0.007834942,-0.011888822,-5.1486884e-05
2452224.5,-0.98505723,-1.0490873,-0.26870853,0.007930309,-0.011789806,-2.5851032e-05
2452225.5,-0.9770815,-1.0607746,-0.26876575,0.008024185,-0.011690346,-3.9289895e-07
2452226.5,-0.9690101,-1.0723661,-0.26879558,0.008116591,-0.011590454,2.4889147e-05
2452227.5,-0.9608447,-1.0838617,-0.26879823,0.008207532,-0.011490148,4.9993472e-05
2452228.5,-0.9525864,-1.0952606,-0.26877382,0.008297021,-0.011389443,7.492171e-05
2452229.5,-0.94423705,-1.1065625,-0.26872256,0.008385065,-0.011288354,9.967222e-05
2452230.5,-0.93579745,-1.1177669,-0.2686446,0.008471678,-0.011186895,0.000124246
2452231.5,-0.9272697,-1.128873,-0.2685403,0.008556874,-0.011085082,0.0001486427
2452232.5,-0.9186546,-1.1398811,-0.2684096,0.008640656,-0.010982926,0.00017286268
2452233.5,-0.9099542,-1.1507903,-0.26825288,0.0087230485,-0.010880443,0.00019690623
2452234.5,-0.9011692,-1.1616006,-0.26807034,0.008804048,-0.010777646,0.0002207737
2452235.5,-0.8923014,-1.1723112,-0.26786214,0.008883675,-0.01067455,0.00024446475
2452236.5,-0.8833519,-1.182922,-0.26762837,0.008961935,-0.010571161,0.00026798007
2452237.5,-0.8743225,-1.1934323,-0.2673694,0.009038844,-0.010467498,0.00029131927
2452238.5,-0.86521417,-1.2038422,-0.26708534,0.009114409,-0.010363573,0.00031448304
2452239.5,-0.8560285,-1.2141513,-0.26677644,0.009188649,-0.010259393,0.0003374724
2452240.5,-0.84676635,-1.2243588,-0.26644284,0.009261565,-0.010154971,0.00036028662
2452241.5,-0.8374299,-1.2344649,-0.2660848,0.009333176,-0.010050324,0.00038292707
2452242.5,-0.82801974,-1.2444692,-0.26570246,0.009403488,-0.009945455,0.00040539305
2452243.5,-0.81853765,-1.2543714,-0.26529613,0.009472514,-0.0098403795,0.00042768588
2452244.5,-0.80898476,-1.264171,-0.2648659,0.009540266,-0.009735109,0.00044980558
2452245.5,-0.79936236,-1.2738681,-0.26441205,0.009606752,-0.009629648,0.0004717525
2452246.5,-0.7896719,-1.283462,-0.26393476,0.009671989,-0.009524012,0.00049352687
2452247.5,-0.7799145,-1.292953,-0.26343423,0.009735978,-0.009418208,0.00051513046
2452248.5,-0.7700916,-1.3023404,-0.26291066,0.009798743,-0.00931225,0.0005365618
2452249.5,-0.7602045,-1.311624,-0.26236427,0.009860287,-0.009206139,0.00055782305
2452250.5,-0.7502542,-1.320804,-0.2617953,0.009920621,-0.00909989,0.0005789137
2452251.5,-0.7402424,-1.3298798,-0.2612039,0.009979756,-0.008993512,0.00059983454
2452252.5,-0.73017013,-1.3388513,-0.2605903,0.010037705,-0.008887012,0.0006205868
2452253.5,-0.7200387,-1.3477184,-0.25995472,0.010094477,-0.0087803975,0.0006411702
2452254.5,-0.7098491,-1.3564807,-0.2592973,0.0101500815,-0.008673681,0.000661585
2452255.5,-0.6996031,-1.3651382,-0.25861832,0.010204532,-0.008566868,0.0006818322
2452256.5,-0.6893013,-1.3736908,-0.257918,0.010257836,-0.008459966,0.00070191314
2452257.5,-0.67894536,-1.3821383,-0.2571965,0.010310003,-0.008352981,0.0007218272
2452258.5,-0.66853654,-1.3904802,-0.25645402,0.010361048,-0.008245927,0.000741575
2452259.5,-0.65807587,-1.3987168,-0.25569078,0.0104109775,-0.008138803,0.0007611585
2452260.5,-0.64756423,-1.4068476,-0.25490692,0.010459804,-0.008031623,0.0007805763
2452261.5,-0.63700354,-1.4148731,-0.25410277,0.010507533,-0.007924393,0.00079983054
2452262.5,-0.62639415,-1.4227924,-0.25327843,0.010554184,-0.007817117,0.0008189208
2452263.5,-0.6157381,-1.4306059,-0.25243416,0.010599754,-0.007709801,0.0008378487
2452264.5,-0.60503584,-1.4383135,-0.2515701,0.010644263,-0.0076024565,0.000856614
2452265.5,-0.5942888,-1.4459145,-0.25068656,0.0106877135,-0.0074950904,0.00087521784
2452266.5,-0.583498,-1.4534094,-0.24978364,0.010730126,-0.0073877024,0.0008936607
2452267.5,-0.5726649,-1.4607983,-0.2488616,0.010771494,-0.007280306,0.0009119428
2452268.5,-0.56179047,-1.4680806,-0.24792057,0.010811843,-0.007172903,0.00093006523
2452269.5,-0.55087537,-1.4752562,-0.2469608,0.010851171,-0.007065499,0.00094802794
2452270.5,-0.5399215,-1.4823254,-0.2459825,0.010889494,-0.006958104,0.00096583227
2452271.5,-0.5289293,-1.4892881,-0.24498582,0.0109268185,-0.006850719,0.0009834789
2452272.5,-0.51790035,-1.4961439,-0.24397096,0.01096315,-0.006743355,0.0010009676
2452273.5,-0.5068354,-1.5028933,-0.24293816,0.010998506,-0.006636012,0.0010182996
2452274.5,-0.49573568,-1.5095361,-0.24188758,0.011032888,-0.006528699,0.0010354752
2452275.5,-0.4846024,-1.5160718,-0.24081945,0.011066311,-0.0064214207,0.0010524959
2452276.5,-0.47343576,-1.5225008,-0.23973389,0.011098778,-0.0063141794,0.0010693618
2452277.5,-0.46223792,-1.5288231,-0.23863116,0.011130299,-0.006206987,0.0010860726
2452278.5,-0.45100918,-1.5350385,-0.23751143,0.011160886,-0.00609984,0.0011026309
2452279.5,-0.43975103,-1.5411471,-0.23637488,0.011190544,-0.0059927506,0.0011190353
2452280.5,-0.42846432,-1.5471488,-0.23522174,0.011219281,-0.0058857175,0.001135287
2452281.5,-0.41714987,-1.5530437,-0.23405208,0.01124711,-0.0057787527,0.0011513877
2452282.5,-0.4058087,-1.5588318,-0.23286626,0.011274032,-0.0056718537,0.0011673365
2452283.5,-0.3944421,-1.5645131,-0.23166429,0.011300061,-0.00556503,0.0011831345
2452284.5,-0.3830508,-1.5700877,-0.23044646,0.011325201,-0.005458283,0.0011987832
2452285.5,-0.37163585,-1.5755556,-0.22921294,0.011349463,-0.00535162,0.001214282
2452286.5,-0.36019796,-1.5809166,-0.22796388,0.011372857,-0.0052450425,0.0012296325
2452287.5,-0.3487386,-1.586171,-0.22669946,0.0113953855,-0.0051385583,0.0012448345
2452288.5,-0.33725813,-1.591319,-0.22541992,0.011417052,-0.005032166,0.0012598889
2452289.5,-0.3257578,-1.5963601,-0.22412539,0.011437877,-0.0049258755,0.0012747962
2452290.5,-0.31423876,-1.6012948,-0.22281606,0.011457856,-0.004819685,0.0012895577
2452291.5,-0.3027013,-1.606123,-0.22149204,0.011477002,-0.004713607,0.0013041728
2452292.5,-0.29114673,-1.610845,-0.22015359,0.011495324,-0.0046076374,0.0013186432
2452293.5,-0.2795758,-1.61546,-0.21880089,0.011512824,-0.004501782,0.0013329687
2452294.5,-0.26798972,-1.6199692,-0.21743406,0.011529511,-0.0043960493,0.0013471501
2452295.5,-0.25638908,-1.6243722,-0.21605326,0.01154539,-0.0042904364,0.0013611879
