time,x,y,z,vx,vy,vz
2452944.5,-1.2030367,-2.749211,-0.058257323,0.008891982,-0.003935826,3.964415e-05
2452945.5,-1.1941323,-2.7531126,-0.05821832,0.008905216,-0.0039054444,4.028508e-05
2452946.5,-1.1852143,-2.7569833,-0.05817866,0.008918353,-0.0038750165,4.0925526e-05
2452947.5,-1.1762834,-2.7608244,-0.058138374,0.008931395,-0.003844548,4.1565516e-05
2452948.5,-1.167339,-2.7646353,-0.05809747,0.008944334,-0.003814038,4.2205025e-05
2452949.5,-1.158382,-2.7684155,-0.058055926,0.008957178,-0.0037834847,4.284405e-05
2452950.5,-1.1494123,-2.7721655,-0.058013756,0.008969924,-0.0037528889,4.3482596e-05
2452951.5,-1.1404293,-2.7758849,-0.05797094,0.008982572,-0.0037222528,4.412059e-05
2452952.5,-1.1314341,-2.7795744,-0.05792751,0.008995121,-0.0036915764,4.4758122e-05
2452953.5,-1.1224254,-2.7832332,-0.05788344,0.009007569,-0.0036608577,4.539515e-05
2452954.5,-1.113405,-2.7868612,-0.05783876,0.009019922,-0.0036300977,4.60317e-05
2452955.5,-1.1043717,-2.7904594,-0.057793442,0.009032175,-0.0035992991,4.666769e-05
2452956.5,-1.095327,-2.794027,-0.05774749,0.009044329,-0.0035684598,4.7303154e-05
2452957.5,-1.0862693,-2.7975636,-0.05770092,0.009056384,-0.00353758,4.793809e-05
2452958.5,-1.0771998,-2.8010695,-0.05765372,0.009068339,-0.0035066623,4.857247e-05
2452959.5,-1.0681185,-2.804545,-0.057605896,0.009080193,-0.003475705,4.920632e-05
2452960.5,-1.0590252,-2.8079896,-0.05755745,0.009091952,-0.0034447087,4.983964e-05
2452961.5,-1.0499202,-2.8114033,-0.05750838,0.00910361,-0.003413675,5.047243e-05
2452962.5,-1.0408037,-2.8147871,-0.05745868,0.009115166,-0.0033826022,5.1104547e-05
2452963.5,-1.0316757,-2.81814,-0.057408363,0.009126625,-0.0033514937,5.1736184e-05
2452964.5,-1.0225358,-2.8214614,-0.057357416,0.009137983,-0.0033203466,5.236724e-05
