time,x_diff,y_diff,z_diff,vx_diff,vy_diff,vz_diff
2451544.5,0,3.33066907387547e-16,9.71445146547012e-17,0,0,0
2451545.5,2.41877243789546e-08,-3.09072449855563e-08,-3.82009079924472e-09,4.85283520972046e-08,-6.16449530995919e-08,-7.62296680000083e-09
2451546.5,9.7457690251268e-08,-1.22906338995143e-07,-1.52072247017188e-08,9.8164238602344e-08,-1.22188431799647e-07,-1.51345742999652e-08
2451547.5,2.20913777715381e-07,-2.74909662145717e-07,-3.40514448998741e-08,1.48900737202001e-07,-1.81657750599785e-07,-2.25375836000524e-08
2451548.5,3.95654151330582e-07,-4.85855765619547e-07,-6.02454841985844e-08,2.00733324903085e-07,-2.40077922099638e-07,-2.98346356000226e-08
2451549.5,6.22773551173239e-07,-7.54707097927465e-07,-9.36845449966972e-08,2.53659621900909e-07,-2.97471739898678e-07,-3.70280091999261e-08
2451550.5,9.03365351634378e-07,-1.08044766966575e-06,-1.34266070303535e-07,3.07679235200808e-07,-3.53859507801549e-07,-4.41198907000576e-08
2451551.5,1.23852338540509e-06,-1.46208066997833e-06,-1.8188950920428e-07,3.62793418300089e-07,-4.09259245699387e-07,-5.11121332999768e-08
2451552.5,1.62934354908106e-06,-1.89862604182967e-06,-2.36456077801206e-07,4.190050479011e-07,-4.63686501001037e-07,-5.80063808999776e-08
2451553.5,2.0769251746211e-06,-2.38911806260678e-06,-2.9786851869773e-07,4.76318065500275e-07,-5.17154361900224e-07,-6.48040604999626e-08
2451554.5,2.5823722120677e-06,-2.932602898853e-06,-3.66030858497957e-07,5.34737678997699e-07,-5.69673543698856e-07,-7.150633870006e-08
2451555.5,3.14679418456087e-06,-3.52813619708403e-06,-4.40848166402552e-07,5.9426987969978e-07,-6.21252281899493e-07,-7.81141321000737e-08
2451556.5,3.77130697504224e-06,-4.17478068126531e-06,-5.22226314705887e-07,6.54921350798712e-07,-6.71896496100277e-07,-8.46281052000342e-08
2451557.5,4.45703340468118e-06,-4.87160379725182e-06,-6.10071742804252e-07,7.16699177101196e-07,-7.21609740900533e-07,-9.10487150999027e-08
2451558.5,5.20510365720206e-06,-5.61767539719593e-06,-7.04291223299625e-07,7.79611010999839e-07,-7.70393270701358e-07,-9.73762189998648e-08
2451559.5,6.01665552313335e-06,-6.41206547968842e-06,-8.0479163550029e-07,8.43664454000873e-07,-8.18246145501203e-07,-1.03610555399853e-07
2451560.5,6.89283449917255e-06,-7.25384199384838e-06,-9.11479742113364e-07,9.08867250400819e-07,-8.65165221800718e-07,-1.09751510199863e-07
2451561.5,7.83479373245299e-06,-8.142068702921e-06,-1.0242619740003e-06,9.75226922701397e-07,-9.11145264200983e-07,-1.15798673300206e-07
2451562.5,8.84369383480355e-06,-9.07580312592415e-06,-1.14304422009492e-06,1.04275082139955e-06,-9.56179031300075e-07,-1.21751400199935e-07
2451563.5,9.92070256899957e-06,-1.00540945582317e-05,-1.2677316252041e-06,1.1114459683003e-06,-1.0002573469e-06,-1.27608823099947e-07
2451564.5,1.10669944135555e-05,-1.10759821603246e-05,-1.39822839610726e-06,1.1813187119989e-06,-1.04336911139861e-06,-1.33369916400063e-07
2451565.5,1.22837500172723e-05,-1.21404931398006e-05,-1.53443761240213e-06,1.25237495830072e-06,-1.08550156730121e-06,-1.39033466199992e-07
2451566.5,1.35721555566404e-05,-1.32466410081022e-05,-1.67626104859153e-06,1.32461995189931e-06,-1.12664010070047e-06,-1.44598093000138e-07
2451567.5,1.49334019875491e-05,-1.43934239213994e-05,-1.82359900059714e-06,1.39805796070015e-06,-1.16676858510044e-06,-1.50062205299915e-07
2451568.5,1.63686842141741e-05,-1.55798231131765e-05,-1.97635012169628e-06,1.47269256950064e-06,-1.20586932970089e-06,-1.55424101699886e-07
2451569.5,1.78792001651606e-05,-1.68048014003164e-05,-2.13441126399594e-06,1.54852627049992e-06,-1.24392323309908e-06,-1.60681899799998e-07
2451570.5,1.94661497959769e-05,-1.80673017843302e-05,-2.29767732709552e-06,1.62556057589983e-06,-1.28090976820108e-06,-1.65833576700174e-07
2451571.5,2.11307339934574e-05,-1.93662461351884e-05,-2.4660411127031e-06,1.70379581860072e-06,-1.31680719839961e-06,-1.70876939199933e-07
2451572.5,2.2874153417396e-05,-2.07005339647459e-05,-2.63939318399797e-06,1.78323119069852e-06,-1.3515925608009e-06,-1.75809721900035e-07
2451573.5,2.46976072507676e-05,-2.20690412879865e-05,-2.81762173130057e-06,1.86386462710034e-06,-1.38524184059921e-06,-1.80629454899894e-07
2451574.5,2.66022918649078e-05,-2.34706195938461e-05,-3.00061244150329e-06,1.94569247280105e-06,-1.41773005090003e-06,-1.85333579899799e-07
2451575.5,2.85893994094177e-05,-2.49040949054091e-05,-3.18824837229614e-06,2.02870990169933e-06,-1.44903127560075e-06,-1.89919412900029e-07
2451576.5,3.06601163080344e-05,-2.63682669708887e-05,-3.38040983229732e-06,2.11291032559992e-06,-1.47911885879995e-06,-1.94384138299964e-07
2451577.5,3.28156216734543e-05,-2.78619085773979e-05,-3.57697426490305e-06,2.19828571440019e-06,-1.50796554740026e-06,-1.9872485059998e-07
2451578.5,3.50570856401111e-05,-2.93837650193196e-05,-3.77781614210176e-06,2.28482613490004e-06,-1.53554366980058e-06,-2.0293851370006e-07
2451579.5,3.73856676220141e-05,-3.09325537400928e-05,-3.98280686430413e-06,2.37251995170024e-06,-1.56182523199967e-06,-2.07021986100122e-07
