time,x_diff,y_diff,z_diff,vx_diff,vy_diff,vz_diff
2451544.5,-3.10862446895044e-15,1.94289029309402e-16,9.71445146547012e-17,9.97465998686664e-17,0,0
2451545.5,7.50471595978297e-09,4.16564932548269e-09,-1.28349799538574e-10,1.50077431996555e-08,8.32960680118011e-09,-2.57333499995016e-10
2451546.5,3.00122988683427e-08,1.66558586922605e-08,-5.15945001999807e-10,3.00059359000307e-08,1.66491331988344e-08,-5.18498900065056e-10
2451547.5,6.75138460692892e-08,3.7460596902239e-08,-1.16664269911304e-09,4.49959153998869e-08,2.49586852001799e-08,-7.83547400031413e-10
2451548.5,1.20001841796835e-07,6.65699533830555e-08,-2.08435280146801e-09,5.99790462999308e-08,3.32583963997407e-08,-1.05253290002931e-09
2451549.5,1.87470114099142e-07,1.03974169551879e-07,-3.27303990160788e-09,7.49567209000664e-08,4.15484326006521e-08,-1.32551109996958e-09
2451550.5,2.69913928985233e-07,1.49663666015876e-07,-4.73672569917261e-09,8.99303582999403e-08,4.9828994800119e-08,-1.60253970000763e-09
2451551.5,3.67329966000085e-07,2.03629086703572e-07,-6.47948979887181e-09,1.0490140449999e-07,5.81003238003114e-08,-1.88367800003919e-09
2451552.5,4.79716357748572e-07,2.65861335113637e-07,-8.50547229869214e-09,1.19871331300328e-07,6.63627035997483e-08,-2.16898610010119e-09
2451553.5,6.07072750291593e-07,3.36351625884745e-07,-1.08188733041747e-08,1.34841636299874e-07,7.46164660007237e-08,-2.45852549993555e-09
2451554.5,7.49400264066225e-07,4.15091528316314e-07,-1.34239546006887e-08,1.4981384180001e-07,8.28619957995991e-08,-2.75235740004442e-09
2451555.5,9.06701576930402e-07,5.02073025654415e-07,-1.63250402016035e-08,1.64789494899991e-07,9.10997347003395e-08,-3.05054370002347e-09
2451556.5,1.07898091794567e-06,5.97288572989907e-07,-1.95265144053991e-08,1.79770165699769e-07,9.93301873999236e-08,-3.35314519997899e-09
2451557.5,1.2662440997957e-06,7.0073116748004e-07,-2.30328229960941e-08,1.94757446400108e-07,1.07553927800388e-07,-3.66022219998319e-09
2451558.5,1.46849854898434e-06,8.12394412796902e-07,-2.68484705995276e-08,2.09752950299912e-07,1.15771605500165e-07,-3.97183280004525e-09
2451559.5,1.68575328496345e-06,9.32272606002371e-07,-3.09780191984355e-08,2.24758308400071e-07,1.23983953399104e-07,-4.2880331000382e-09
2451560.5,1.91801899207533e-06,1.06036082170302e-06,-3.54260846976984e-08,2.39775168899958e-07,1.32191795300038e-07,-4.60887510003293e-09
2451561.5,2.16530800178916e-06,1.19665500708521e-06,-4.01973334965278e-08,2.54805191700087e-07,1.40396055199957e-07,-4.93440730007892e-09
2451562.5,2.42763431623771e-06,1.34115208727525e-06,-4.52964774994014e-08,2.69850044900145e-07,1.48597768000192e-07,-5.26467190003523e-09
2451563.5,2.70501358379249e-06,1.49385008296754e-06,-5.07282676004417e-08,2.84911398499774e-07,1.56798089500157e-07,-5.599704400042e-09
2451564.5,2.99746315279847e-06,1.65474823599077e-06,-5.64974853012323e-08,2.99990916600122e-07,1.64998308998382e-07,-5.93953130006031e-09
2451565.5,3.30500201695116e-06,1.82384714930706e-06,-6.26089343008784e-08,3.15090248000343e-07,1.73199861898746e-07,-6.2841685999869e-09
2451566.5,3.62765078998351e-06,2.0011489395011e-06,-6.90674276035419e-08,3.30211013400104e-07,1.81404343999395e-07,-6.63361899991884e-09
2451567.5,3.96543171010677e-06,2.18665740642221e-06,-7.58777734047311e-08,3.45354788499914e-07,1.89613524999299e-07,-6.98787009994432e-09
2451568.5,4.31836853609369e-06,2.38037821215231e-06,-8.30447583963223e-08,3.60523085700219e-07,1.97829364100358e-07,-7.34689039997866e-09
2451569.5,4.6864865197449e-06,2.58231907829254e-06,-9.05731270955945e-08,3.75717328200253e-07,2.06054023701302e-07,-7.71062659999256e-09
2451570.5,5.06981227088588e-06,2.79248999546233e-06,-9.84675581003347e-08,3.90938819799964e-07,2.14289882699559e-07,-8.07899920010277e-09
2451571.5,5.46837362991326e-06,3.01090344778654e-06,-1.06732635500595e-07,4.06188708499886e-07,2.22539546700096e-07,-8.45189859993798e-09
2451572.5,5.88219946795476e-06,3.23757464010255e-06,-1.15372817098558e-07,4.2146794159998e-07,2.30805855599633e-07,-8.82918019999655e-09
2451573.5,6.31131952211206e-06,3.47252173421575e-06,-1.24392396300133e-07,4.3677721450015e-07,2.39091883699402e-07,-9.21065980007563e-09
2451574.5,6.75576403663669e-06,3.71576608321211e-06,-1.33795461002006e-07,4.52116910099835e-07,2.47400931199793e-07,-9.59610879994188e-09
2451575.5,7.21556347693664e-06,3.96733244234504e-06,-1.43585845498173e-07,4.67487032199815e-07,2.5573650519993e-07,-9.98524910000333e-09
2451576.5,7.69074809614523e-06,4.22724916493422e-06,-1.53767080499079e-07,4.82887130499703e-07,2.64102282399384e-07,-1.03777499999491e-08
2451577.5,8.18134740487864e-06,4.49554834358601e-06,-1.64342338099255e-07,4.98316223800001e-07,2.72502054299989e-07,-1.07732250000277e-08
2451578.5,8.68738967430005e-06,4.77226588702084e-06,-1.75314375600033e-07,5.13772723199826e-07,2.80939646600184e-07,-1.11712314000006e-08
2451579.5,9.20890123889961e-06,5.05744150280929e-06,-1.86685480310644e-07,5.29254362500228e-07,2.89418812599723e-07,-1.15712729000352e-08
2451580.5,9.74590578017853e-06,5.3511185598154e-06,-1.98457419497977e-07,5.44758144699689e-07,2.97943093498926e-07,-1.19728059000271e-08
2451581.5,1.02984236538539e-05,5.65334379398763e-06,-2.10631396796446e-07,5.60280315599869e-07,3.06515652999731e-07,-1.23752503999527e-08
2451582.5,1.08664710478656e-05,5.96416683729117e-06,-2.23208024896504e-07,5.75816376100022e-07,3.15139085299565e-07,-1.27780068999786e-08
2451583.5,1.14500593078048e-05,6.28363954424671e-06,-2.36187316413061e-07,5.91361148600048e-07,3.23815206700745e-07,-1.31804797999296e-08
2451584.5,1.20491943369494e-05,6.61181510919207e-06,-2.49568701801706e-07,6.06908903699917e-07,3.32544848099386e-07,-1.35821051000041e-08
2451585.5,1.26638760802322e-05,6.94874698670134e-06,-2.6335107769504e-07,6.22453559100036e-07,3.41327668400282e-07,-1.39823850999051e-08
2451586.5,1.32940983501584e-05,7.29448764213991e-06,-2.7753289040533e-07,6.37988944399842e-07,3.50162015300137e-07,-1.43809228999973e-08
2451587.5,1.39398488889775e-05,7.64908720274349e-06,-2.92112254704491e-07,6.53509121300005e-07,3.59044858200611e-07,-1.47774580000004e-08
2451588.5,1.46011097252874e-05,8.0125920828289e-06,-3.07087105702597e-07,6.69008735500187e-07,3.67971817599733e-07,-1.5171895599987e-08
2451589.5,1.52778580062574e-05,8.38504369560233e-06,-3.22455375900699e-07,6.84483366799639e-07,3.76937302698846e-07,-1.55643280000395e-08
2451590.5,1.59700670487872e-05,8.7664773571472e-06,-3.38215187495328e-07,6.99929837000204e-07,3.85934756701178e-07,-1.59550424000008e-08
2451591.5,1.66777076979763e-05,9.15692147707148e-06,-3.54365045404648e-07,7.15346439800115e-07,3.94956991099996e-07,-1.63445147000063e-08
2451592.5,1.7400749908969e-05,9.55639712685308e-06,-3.70904016500084e-07,7.30733061900246e-07,4.03996578699287e-07,-1.6733388599993e-08
2451593.5,1.81391642950501e-05,9.96491799898358e-06,-3.87831881998313e-07,7.46091181899958e-07,4.1304626200063e-07,-1.71224420000577e-08
2451594.5,1.88929237361357e-05,1.03824907750072e-05,-4.05149250592984e-07,7.61423750400385e-07,4.22099332500481e-07,-1.75125451000544e-08
2451595.5,1.96620046621909e-05,1.08091158377288e-05,-4.22857628204487e-07,7.76734971400222e-07,4.31149947001386e-07,-1.79046141998967e-08
2451596.5,2.04463882709227e-05,1.12447882570921e-05,-4.40959441405653e-07,7.92030016699957e-07,4.40193350999263e-07,-1.82995672999607e-08
2451597.5,2.12460612321053e-05,1.16894989464766e-05,-4.59458018992054e-07,8.07314709100164e-07,4.49226003300732e-07,-1.8698284699986e-08
2451598.5,2.20610162768864e-05,1.21432359048157e-05,-4.78357537900265e-07,8.22595209999926e-07,4.58245604300841e-07,-1.91015784000706e-08
2451599.5,2.2891252329682e-05,1.26059854274052e-05,-4.97662943493848e-07,8.37877736600042e-07,4.67251042699304e-07,-1.9510169799934e-08
2451600.5,2.37367744428951e-05,1.30777332523202e-05,-5.17379851711075e-07,8.53168328200215e-07,4.76242283201436e-07,-1.99246778999785e-08
2451601.5,2.45975935611042e-05,1.35584655553966e-05,-5.37514443801901e-07,8.68472668599796e-07,4.85220216499271e-07,-2.03456146000798e-08
2451602.5,2.54737260889648e-05,1.40481697974426e-05,-5.58073361398015e-07,8.83795965100388e-07,4.94186492699944e-07,-2.07733880000071e-08
2451603.5,2.63651933654074e-05,1.45468354024736e-05,-5.79063603803331e-07,8.99142877599894e-07,5.03143354500801e-07,-2.12083088000107e-08
2451604.5,2.72720210832134e-05,1.50544542629749e-05,-6.00492437302647e-07,9.14517490400221e-07,5.12093481000106e-07,-2.16506007000555e-08
2451605.5,2.8194238744117e-05,1.55710211147131e-05,-6.22367312796968e-07,9.29923316299926e-07,5.21039850698984e-07,-2.21004117000262e-08
2451606.5,2.9131879107247e-05,1.60965337698826e-05,-6.44695796400696e-07,9.45363322900003e-07,5.29985625500468e-07,-2.25578263000382e-08
2451607.5,3.00849776020407e-05,1.66309932555508e-05,-6.67485511696153e-07,9.60839974100194e-07,5.38934056498394e-07,-2.30228767999921e-08
2451608.5,3.10535719338922e-05,1.71744038630628e-05,-6.90744092909923e-07,9.76355279299658e-07,5.47888411500663e-07,-2.34955535999282e-08
2451609.5,3.20377015810003e-05,1.77267731358288e-05,-7.14479147803648e-07,9.91910845599998e-07,5.56851919599616e-07,-2.39758147000226e-08
2451610.5,3.30374074599682e-05,1.82881118093725e-05,-7.38698228808232e-07,1.00750792990031e-06,5.6582773230035e-07,-2.4463593200014e-08
2451611.5,3.40527315878525e-05,1.88584337239561e-05,-7.63408812512467e-07,1.02314748790053e-06,5.74818896799043e-07,-2.49588046000041e-08
2451612.5,3.5083716814821e-05,1.94377557024561e-05,-7.88618283995013e-07,1.03883021919989e-06,5.83828339100617e-07,-2.54613519000023e-08
