time,x,y,z,vx,vy,vz
2451644.5,2.5568253993988,0.601305842399597,-0.0885544642806053,-0.0028071752749383,0.0112729482352734,-0.0004666237800847
2451645.5,2.55436062812805,0.613308727741241,-0.0889151021838188,-0.0028543977532535,0.0112612601369619,-0.0004651322669815
2451646.5,2.55184650421143,0.625314712524414,-0.0892764702439308,-0.0029017068445682,0.0112494360655546,-0.000463639589725
2451647.5,2.54928827285767,0.63732522726059,-0.0896386802196503,-0.0029491225723177,0.011237476952374,-0.0004621444968506
2451648.5,2.54668998718262,0.649329483509064,-0.0900017097592354,-0.0029966395813971,0.0112253986299038,-0.00046064669732
2451649.5,2.54405760765076,0.661318242549896,-0.09036535769701,-0.003044246463105,0.0112132336944342,-0.0004591461038216
2451650.5,2.5413875579834,0.67329603433609,-0.090729758143425,-0.0030919555574655,0.0112009746953845,-0.0004576426290441
2451651.5,2.53868269920349,0.685259640216827,-0.0910948440432549,-0.0031397670973092,0.0111886225640774,-0.0004561363020911
2451652.5,2.53594017028809,0.697210192680359,-0.0914607495069504,-0.0031876799184829,0.0111761735752225,-0.0004546272975858
2451653.5,2.53321599960327,0.709001183509827,-0.0917856618762016,-0.0032319712918251,0.0111660780385137,-0.0004530547594185
2451654.5,2.53047800064087,0.720705032348633,-0.0920922830700874,-0.0032746633514761,0.0111570013687015,-0.0004514526226557
2451655.5,2.52770471572876,0.73239266872406,-0.092399887740612,-0.0033174571581184,0.0111478175967932,-0.0004498490015976
2451656.5,2.52489328384399,0.744062721729279,-0.0927083566784859,-0.0033603587653487,0.0111385239288211,-0.000448244070867
2451657.5,2.52204537391663,0.755713522434235,-0.0930177494883537,-0.0034033483825624,0.0111291166394949,-0.0004466371319722
2451658.5,2.51916003227234,0.767346382141113,-0.0933280736207962,-0.0034464378841221,0.0111195892095566,-0.0004450277483556
2451659.5,2.51623344421387,0.778967559337616,-0.093639612197876,-0.0034896286670118,0.0111099183559418,-0.0004434139409568
2451660.5,2.51327204704285,0.790577352046967,-0.0939517393708229,-0.0035328564699739,0.0111001394689083,-0.0004417942254804
2451661.5,2.51027679443359,0.802168548107147,-0.0942644849419594,-0.0035761217586696,0.0110902450978756,-0.0004401685146149
2451662.5,2.5071325302124,0.813572645187378,-0.0946008637547493,-0.0036198683083057,0.0110789509490132,-0.0004385266220197
2451663.5,2.50380730628967,0.824742078781128,-0.0949670821428299,-0.003664226969704,0.01106589846313,-0.0004368650843389
