time,x_diff,y_diff,z_diff,vx_diff,vy_diff,vz_diff
2451644.5,-0.106315673277422,-0.0265122630853699,-0.003749402375633,2.38003691314503e-06,-6.5130960459462e-05,1.44272875869739e-05
2451645.5,-0.106678380556127,-0.0273126783451333,-0.0038401046591508,4.24326012817911e-06,-6.41721392469364e-05,1.46498317378272e-05
2451646.5,-0.107037072139957,-0.028127026962574,-0.0039283583983389,6.2379053174526e-06,-6.32865880970182e-05,1.48798650908623e-05
2451647.5,-0.107396947826551,-0.0289569485860329,-0.0040140432021937,8.38519997151945e-06,-6.24750242815813e-05,1.51160939957694e-05
2451648.5,-0.107762014117201,-0.0297918636932248,-0.0040971728325406,1.06809918299757e-05,-6.17530574433933e-05,1.5358184842744e-05
2451649.5,-0.10813818365962,-0.0306227422554002,-0.0041779399079035,1.31150737412824e-05,-6.11530522587663e-05,1.56060073647948e-05
2451650.5,-0.108521831157492,-0.0314543226807595,-0.0042562018138259,1.57009859082535e-05,-6.06673177796016e-05,1.58594309122304e-05
2451651.5,-0.108915767416675,-0.0322835945289464,-0.0043320171450568,1.84401598904318e-05,-6.02965362272775e-05,1.61184408690813e-05
2451652.5,-0.109317079999155,-0.0331118982452154,-0.004405243374579,2.13326287383997e-05,-6.00367245002925e-05,1.63831677583301e-05
2451653.5,-0.109781744659545,-0.0337929333075554,-0.0045176847884257,2.06568588948753e-05,-6.23379257967613e-05,1.65927109906918e-05
2451654.5,-0.110277521083421,-0.0343993267833905,-0.0046466311399113,1.84361784349926e-05,-6.5865279710758e-05,1.67809607737791e-05
2451655.5,-0.11078289659934,-0.0350022153445482,-0.0047727994944723,1.63728402386865e-05,-6.94925334642753e-05,1.69759861702131e-05
2451656.5,-0.111294953993728,-0.0356004349406568,-0.0048963008242664,1.44740883000921e-05,-7.32166007035868e-05,1.71779161861765e-05
2451657.5,-0.111815304816546,-0.0361925232014469,-0.0050170673333231,1.27213205536989e-05,-7.70334551818963e-05,1.73860063335384e-05
2451658.5,-0.11234293682579,-0.036779997683658,-0.0051350834259228,1.11275979904333e-05,-8.09362681426801e-05,1.7599773678442e-05
2451659.5,-0.112873975570859,-0.0373693228157896,-0.0052500578814309,9.69550226665719e-06,-8.49014385119716e-05,1.78171924018161e-05
2451660.5,-0.11341479741637,-0.0379610022396085,-0.0053626084969955,8.36195480242172e-06,-8.89640300511096e-05,1.80367310666075e-05
2451661.5,-0.113966293917959,-0.0385480290809088,-0.0054726974660067,7.12860191161464e-06,-9.31162572163947e-05,1.82582548346248e-05
2451662.5,-0.114413245603604,-0.0389621059575317,-0.0055573019884327,6.44039740654032e-06,-9.60734827608334e-05,1.84715294515082e-05
2451663.5,-0.114723639907817,-0.0391558729639254,-0.0056102078221761,6.42936865303178e-06,-9.74767956241976e-05,1.86730432596332e-05
2451664.5,-0.115038078140868,-0.0393494158795452,-0.0056599279297983,6.53021316977982e-06,-9.89286416224998e-05,1.88753786304182e-05
2451665.5,-0.115358162407973,-0.0395446671193879,-0.0057065737095104,6.74666449446398e-06,-0.0001004305145677,1.90780499273063e-05
2451666.5,-0.115681440527144,-0.0397393267955672,-0.0057500405419579,7.08408390016988e-06,-0.0001019689985563,1.92812114127106e-05
2451667.5,-0.116009035425797,-0.0399330019871306,-0.0057904399242792,7.53409356020864e-06,-0.000103555814757,1.94845804116876e-05
2451668.5,-0.116332770539596,-0.0401306638007678,-0.005827540676935,8.11089810002401e-06,-0.0001051700792997,1.96872918029844e-05
2451669.5,-0.116652335952284,-0.040329772758721,-0.0058613947928418,8.81845542034018e-06,-0.0001068067319091,1.98888875638746e-05
2451670.5,-0.116967897421956,-0.0405280869982818,-0.0058923299871366,9.63953356180897e-06,-0.0001084532526754,2.00900734901502e-05
