time,x_diff,y_diff,z_diff,vx_diff,vy_diff,vz_diff
2451544.5,0,1.33226762955019e-15,0,0,0,0
2451545.5,3.95653110274452e-09,1.14758487157474e-08,-2.74437000902239e-11,7.89676850125598e-09,2.29499686999705e-08,-5.4398200028706e-11
2451546.5,1.57606200000548e-08,4.58965159211289e-08,-1.07797999693293e-10,1.56952570003199e-08,4.58897156999354e-08,-1.0582580005445e-10
2451547.5,3.53144102988034e-08,1.0325198296357e-07,-2.38104997524191e-10,2.33963149999517e-08,6.88196231000623e-08,-1.54308100043347e-10
2451548.5,6.25209011992367e-08,1.83532606889969e-07,-4.15433000500176e-10,3.10008038007653e-08,9.17401021998179e-08,-1.9987219995396e-10
2451549.5,9.7283958805372e-08,2.86729175069667e-07,-6.3687780049726e-10,3.85095957986664e-08,1.14651595099985e-07,-2.42545899922612e-10
2451550.5,1.39508327390292e-07,4.12832938057051e-07,-8.99562799250297e-10,4.59235751006787e-08,1.37554578800297e-07,-2.82358000045294e-10
2451551.5,1.89099640890422e-07,5.6183564600687e-07,-1.20064120104346e-09,5.32436364997224e-08,1.60449568300039e-07,-3.19337600091472e-10
2451552.5,2.45964433195911e-07,7.3372958420137e-07,-1.53729510024569e-09,6.04706854000214e-08,1.83337119699731e-07,-3.5351420000964e-10
2451553.5,3.10010148801831e-07,9.28507590813865e-07,-1.90673630010019e-09,6.76056373990347e-08,2.06217834600175e-07,-3.84916500040765e-10
2451554.5,3.81145151800988e-07,1.14616316571059e-06,-2.30620439758966e-09,7.46494173003986e-08,2.29092363200015e-07,-4.13573100028694e-10
2451555.5,4.5927873740248e-07,1.38669047400342e-06,-2.73296749814245e-09,8.16029587999423e-08,2.51961409100058e-07,-4.39510900005109e-10
2451556.5,5.44321136691783e-07,1.65008438690606e-06,-3.18431999865587e-09,8.8467203200257e-08,2.74825734000034e-07,-4.62755399971426e-10
2451557.5,6.36183526192546e-07,1.93634061718129e-06,-3.65757960030244e-09,9.52430984999669e-08,2.97686162699807e-07,-4.83329699939132e-10
2451558.5,7.34778032279726e-07,2.2454556911633e-06,-4.15008719750753e-09,1.0193159699981e-07,3.20543589699997e-07,-5.01253899932302e-10
2451559.5,8.40017735814769e-07,2.57742708775766e-06,-4.65920079947835e-09,1.08533653999862e-07,3.43398985300399e-07,-5.16544200099799e-10
2451560.5,9.51816672117856e-07,2.93225331393643e-06,-5.18229279974913e-09,1.15050224500091e-07,3.66253403299988e-07,-5.29212199995403e-10
2451561.5,1.07008983218915e-06,3.30993392694268e-06,-5.71674450139392e-09,1.21482257899042e-07,3.89107989700026e-07,-5.39263700100739e-10
2451562.5,1.19475315008e-06,3.71046972791333e-06,-6.25993870281838e-09,1.27830696500242e-07,4.11963991499981e-07,-5.46697299951861e-10
2451563.5,1.32572349550997e-06,4.13386280984085e-06,-6.80925429930035e-09,1.34096466899297e-07,4.34822767700002e-07,-5.51503199987431e-10
2451564.5,1.46291865399384e-06,4.58011666015778e-06,-7.36205369930576e-09,1.40280471599974e-07,4.57685800400124e-07,-5.53661400038395e-10
2451565.5,1.60625729711539e-06,5.04923633215526e-06,-7.9156749974163e-09,1.46383580599055e-07,4.80554707599917e-07,-5.53139699950751e-10
2451566.5,1.75565894655616e-06,5.54122858131834e-06,-8.46741550486474e-09,1.52406615699235e-07,5.03431255799956e-07,-5.49891399992744e-10
2451567.5,1.91104391350505e-06,6.05610199899687e-06,-9.01451849971702e-09,1.58350336999097e-07,5.26317374400023e-07,-5.43852500035392e-10
2451568.5,2.0723332301853e-06,6.5938671931498e-06,-9.55415350306632e-09,1.6421542219959e-07,5.49215171899691e-07,-5.34939199924381e-10
2451569.5,2.23944855481939e-06,7.15453696908952e-06,-1.00833939045697e-08,1.70002437700073e-07,5.7212694460013e-07,-5.23043800003224e-10
2451570.5,2.41231204600734e-06,7.73812653909189e-06,-1.05991929955085e-08,1.75711813300838e-07,5.95055196299724e-07,-5.08031200007614e-10
2451571.5,2.59084620524153e-06,8.34465372312465e-06,-1.10983527021324e-08,1.81343801100575e-07,6.18002643100121e-07,-4.8973409995292e-10
2451572.5,2.77497368150748e-06,8.97413915623702e-06,-1.15774900014132e-08,1.8689843180042e-07,6.40972222500091e-07,-4.67949700039619e-10
2451573.5,2.96461702242734e-06,9.62660655279279e-06,-1.20329990971335e-08,1.92375463099401e-07,6.63967093699966e-07,-4.42433100030469e-10
2451574.5,3.15969836861552e-06,1.03020828619016e-05,-1.24610064003439e-08,1.97774318800442e-07,6.86990629100194e-07,-4.12893900059857e-10
2451575.5,3.36013909352229e-06,1.10005985152206e-05,-1.28573231020224e-08,2.03094020500422e-07,7.10046394100054e-07,-3.78990700042499e-10
2451576.5,3.56585935873399e-06,1.17221875850504e-05,-1.32173922987033e-08,2.08333114199225e-07,7.33138111099971e-07,-3.40327599977243e-10
