time,x,y,z,vx,vy,vz,mass
2451544.5,-0.7186302169204941,-0.0225038006942859,0.0411718412863683,0.0005135327471455,-0.0203061416224766,-0.0003071745200681,4.8675e+24
2451545.5,-0.7178321361912561,-0.042798350049032,0.0408484010422666,0.0010824815683573,-0.0202802797244935,-0.0003396608821885,4.8675e+24
2451546.5,-0.7164656239478461,-0.0630590118930975,0.0404926139850957,0.0016503199546549,-0.0202383735135283,-0.000371863864282,4.8675e+24
2451547.5,-0.7145320177819197,-0.0832697648342248,0.0401047762931649,0.0022165939111732,-0.0201804710116063,-0.0004037579179774,4.8675e+24
2451548.5,-0.7120331082600946,-0.1034146420287703,0.0396852095450832,0.0027808515467515,-0.0201066332783969,-0.0004353177945228,4.8675e+24
2451549.5,-0.7089711366293272,-0.1234777441707965,0.0392342604097834,0.003342643454981,-0.020016934312166,-0.0004665185654261,4.8675e+24
2451550.5,-0.7053487921436812,-0.1434432523763281,0.038752300316126,0.0039015230903087,-0.0199114609391946,-0.0004973356426524,4.8675e+24
2451551.5,-0.7011692090176167,-0.1632954409513707,0.0382397251025343,0.0044570471388318,-0.0197903126919316,-0.0005277447983615,4.8675e+24
2451552.5,-0.6964359630112895,-0.1830186900325669,0.0376969546471292,0.0050087758834274,-0.019653601676164,-0.0005577221841676,4.8675e+24
2451553.5,-0.6911530676536783,-0.2025974980896382,0.0371244324788488,0.0055562735629209,-0.0195014524274491,-0.0005872443499088,4.8675e+24
2451554.5,-0.6853249701096811,-0.2220164942790238,0.0365226253700508,0.0060991087249081,-0.0193340017571734,-0.0006162882619084,4.8675e+24
2451555.5,-0.6789565466976631,-0.2412604506385344,0.0358920229111118,0.0066368545719983,-0.019151398588514,-0.0006448313207185,4.8675e+24
2451556.5,-0.6720530980641931,-0.2603142941130075,0.0352331370675487,0.0071690893011426,-0.0189538037825792,-0.0006728513783296,4.8675e+24
2451557.5,-0.6646203440230071,-0.279163118401372,0.0345465017202003,0.0076953964358052,-0.018741389955124,-0.0007003267548401,4.8675e+24
2451558.5,-0.6566644180654928,-0.2977921956158295,0.0338326721890158,0.0082153651507134,-0.018514341284124,-0.0007272362545701,4.8675e+24
2451559.5,-0.6481918615502319,-0.3161869877441817,0.0330922247410086,0.0087285905889508,-0.0182728533085516,-0.0007535591816154,4.8675e+24
2451560.5,-0.6392096175793704,-0.3343331579066781,0.0323257560829423,0.0092346741711734,-0.0180171327186969,-0.0007792753548298,4.8675e+24
2451561.5,-0.629725024569797,-0.3522165813991011,0.0315338828393206,0.0097332238967464,-0.0177473971383803,-0.0008043651222312,4.8675e+24
2451562.5,-0.6197458095273025,-0.3698233565141537,0.0307172410162637,0.0102238546366122,-0.0174638748994036,-0.0008288093748238,4.8675e+24
2451563.5,-0.6092800810320793,-0.3871398151335644,0.0298764854518556,0.0107061884177202,-0.0171668048085884,-0.0008525895598325,4.8675e+24
2451564.5,-0.598336321944073,-0.4041525330836681,0.0290122892535527,0.0111798546988621,-0.0168564359077529,-0.0008756876933448,4.8675e+24
2451565.5,-0.5869233818368568,-0.4208483402475803,0.0281253432232486,0.0116444906377741,-0.016533027226977,-0.0008980863723566,4.8675e+24
2451566.5,-0.575050469168821,-0.4372143304274284,0.0272163552705916,0.0120997413493827,-0.0161968475315116,-0.0009197687862209,4.8675e+24
2451567.5,-0.56272714320059,-0.4532378709504611,0.0262860498151534,0.0125452601550882,-0.0158481750626848,-0.0009407187274962,4.8675e+24
2451568.5,-0.5499633056676765,-0.4689066120132119,0.0253351671780482,0.012980708822994,-0.0154872972731627,-0.0009609206021965,4.8675e+24
2451569.5,-0.5367691922174663,-0.4842084957582294,0.0243644629636039,0.0134057577989963,-0.0151145105568646,-0.0009803594394397,4.8675e+24
2451570.5,-0.5231553636197173,-0.4991317650782148,0.023374707431682,0.0138200864286787,-0.0147301199739569,-0.0009990209004989,4.8675e+24
2451571.5,-0.5091326967597567,-0.5136649721428266,0.0223666848612455,0.0142233831699781,-0.0143344389712031,-0.0010168912872573,4.8675e+24
2451572.5,-0.4947123754236845,-0.5277969866436415,0.0213411929057705,0.0146153457965365,-0.0139277890980165,-0.0010339575500663,4.8675e+24
2451573.5,-0.479905880884852,-0.5415170037531771,0.0202990419410937,0.0149956815917779,-0.01351049971857,-0.0010502072950154,4.8675e+24
2451574.5,-0.4647249823009263,-0.5548145517941768,0.0192410544062857,0.0153641075336621,-0.0130829077202676,-0.0010656287906123,4.8675e+24
2451575.5,-0.4491817269308598,-0.5676794996156812,0.0181680641381351,0.0157203504701235,-0.0126453572189002,-0.0010802109738809,4.8675e+24
2451576.5,-0.4332884301810719,-0.5801020636727297,0.0170809156998255,0.0160641472852097,-0.0121981992607995,-0.0010939434558794,4.8675e+24
2451577.5,-0.4170576654901318,-0.592072814806843,0.0159804637043805,0.0163952450559442,-0.0117417915222973,-0.0011068165266459,4.8675e+24
2451578.5,-0.4005022540612083,-0.6035826847247409,0.0148675721334487,0.0167134011999401,-0.0112764980067855,-0.001118821159575,4.8675e+24
2451579.5,-0.3836352544515097,-0.6146229721730427,0.0137431136519932,0.0170183836138058,-0.0108026887396704,-0.0011299490152324,4.8675e+24
2451580.5,-0.3664699520279079,-0.6251853488069881,0.0126079689194453,0.0173099708023857,-0.0103207394615039,-0.0011401924446125,4.8675e+24
2451581.5,-0.3490198482978805,-0.6352618647514947,0.0114630258978765,0.0175879519988893,-0.0098310313195754,-0.0011495444918466,4.8675e+24
2451582.5,-0.3312986501248544,-0.644844953853153,0.0103091791577339,0.0178521272759706,-0.0093339505582383,-0.0011579988963683,4.8675e+24
2451583.5,-0.3133202588369679,-0.6539274386220301,0.0091473291816784,0.0181023076478251,-0.0088298882082463,-0.001165550094544,4.8675e+24
2451584.5,-0.2950987592381932,-0.6625025348624267,0.0079783816670564,0.0183383151633839,-0.0083192397753709,-0.0011721932207772,4.8675e+24
2451585.5,-0.2766484085306886,-0.6705638559919989,0.0068032468275262,0.0185599829906657,-0.0078024049285542,-0.001177924108096,4.8675e+24
2451586.5,-0.2579836251571734,-0.6781054170489288,0.0056228386943498,0.018767155492436,-0.0072797871878922,-0.001182739288237,4.8675e+24
2451587.5,-0.2391189775719239,-0.6851216383870635,0.0044380744178491,0.0189596882932626,-0.0067517936126537,-0.0011866359912359,4.8675e+24
2451588.5,-0.2200691729490041,-0.6916073490592433,0.0032498735695111,0.0191374483380749,-0.0062188344896464,-0.001189612144539,4.8675e+24
2451589.5,-0.2008490458360733,-0.6975577898892147,0.0020591574452161,0.0193003139424457,-0.0056813230220768,-0.0011916663716503,4.8675e+24
2451590.5,-0.1814735467620196,-0.7029686162327666,0.0008668483700455,0.019448174834688,-0.005139675019163,-0.0011927979903249,4.8675e+24
2451591.5,-0.1619577308065122,-0.7078359004289222,-0.0003261309948821,0.0195809321899522,-0.0045943085866592,-0.0011930070103238,4.8675e+24
2451592.5,-0.1423167461393887,-0.7121561339421717,-0.0015188583431145,0.0196984986564806,-0.0040456438184398,-0.0011922941307361,4.8675e+24
2451593.5,-0.1225658225376508,-0.7159262291968782,-0.0027104124106787,0.0198007983741596,-0.0034941024892772,-0.0011906607368799,4.8675e+24
2451594.5,-0.1027202598877077,-0.7191435211051094,-0.0038998736605856,0.01988776698549,-0.0029401077489427,-0.0011881088967845,4.8675e+24
2451595.5,-0.0827954166803944,-0.721805768289285,-0.0050863249636105,0.0199593516390863,-0.0023840838177546,-0.0011846413572605,4.8675e+24
2451596.5,-0.062806698506182,-0.7239111540011488,-0.0062688522749406,0.020015510985807,-0.0018264556836995,-0.0011802615395633,4.8675e+24
2451597.5,-0.0427695465579033,-0.7254582867387,-0.0074465453062815,0.0200562151676129,-0.0012676488012555,-0.0011749735346526,4.8675e+24
2451598.5,-0.022699426148214,-0.7264462005628567,-0.0086184981930279,0.0200814457992526,-0.0007080887920533,-0.0011687820980577,4.8675e+24
2451599.5,-0.0026118152489127,-0.7268743551157604,-0.0097838101561029,0.0200911959428773,-0.0001482011475229,-0.0011616926443535,4.8675e+24
2451600.5,0.0174778069408644,-0.7267426353427855,-0.0109415861580841,0.0200854700756962,0.0004115890663115,-0.0011537112412605,4.8675e+24
2451601.5,0.0375539713906765,-0.7260513509204647,-0.0120909375532456,0.020064284050798,0.0009708575017986,-0.0011448446033754,4.8675e+24
2451602.5,0.0576012305922704,-0.7248012353926251,-0.0132309827311494,0.0200276650512731,0.0015291808202179,-0.0011351000855441,4.8675e+24
2451603.5,0.0776041698639005,-0.7229934450172121,-0.0143608477534369,0.0199756515377616,0.0020861369798456,-0.0011244856758887,4.8675e+24
2451604.5,0.0975474185989615,-0.7206295573263564,-0.0154796669834774,0.0199082931895601,0.0026413055213891,-0.0011130099884973,4.8675e+24
2451605.5,0.1174156614525689,-0.7177115694023399,-0.0165865837085431,0.01982565083943,0.0031942678507295,-0.0011006822557876,4.8675e+24
2451606.5,0.1371936494598494,-0.7142418958722158,-0.0176807507541871,0.0197277964022296,0.0037446075188658,-0.0010875123205522,4.8675e+24
2451607.5,0.1568662110798287,-0.7102233666239094,-0.0187613310905121,0.0196148127974986,0.004291910498988,-0.0010735106276958,4.8675e+24
2451608.5,0.1764182631589313,-0.7056592242467161,-0.0198274984300259,0.0194867938661172,0.0048357654606081,-0.0010586882156713,4.8675e+24
2451609.5,0.1958348218082254,-0.7005531211991612,-0.0208784378167847,0.0193438442811562,0.0053757640406867,-0.0010430567076227,4.8675e+24
2451610.5,0.215101013188661,-0.694909116707265,-0.021913346206537,0.0191860794530322,0.005911501111692,-0.0010266283022428,4.8675e+24
2451611.5,0.2342020841986599,-0.6887316733963038,-0.0229314330375838,0.0190136254290729,0.0064425750465365,-0.0010094157643514,4.8675e+24
2451612.5,0.2531234130585206,-0.6820256536592195,-0.0239319207920814,0.0188266187875985,0.0069685879803357,-0.0009914324152013,4.8675e+24
