time,x,y,z,vx,vy,vz,mass
2451544.5,6.408556035505925,6.568042752621957,-0.3691272880681217,-0.004290540498899,0.0038919908931524,0.0001026097543467,5.6834e+26
2451545.5,6.404264153015498,6.571933554203184,-0.3690246356027881,-0.0042932191332076,0.0038896078600582,0.0001026968731909,5.6834e+26
2451546.5,6.399969568849152,6.575821954977211,-0.3689218847449394,-0.0042959604245727,0.0038871712269963,0.0001028173644193,5.6834e+26
2451547.5,6.395672242029391,6.579707855586865,-0.36881898115606,-0.0042986856049857,0.0038846202123564,0.0001029940705848,5.6834e+26
2451548.5,6.391372204258073,6.583591175998873,-0.3687158873750521,-0.0043013890469976,0.0038820093901896,0.0001031988951564,5.6834e+26
2451549.5,6.387069475300901,6.58747184753489,-0.3686125710094332,-0.0043040655455251,0.0038793235358772,0.0001034388028225,5.6834e+26
2451550.5,6.382764088021698,6.591349777834243,-0.3685089877891397,-0.0043066778708749,0.0038765100231506,0.0001037383406963,5.6834e+26
2451551.5,6.378456199604759,6.595224868365558,-0.3684051029792211,-0.0043090828004681,0.0038736877293193,0.0001040209549865,5.6834e+26
2451552.5,6.374145942967658,6.599097161678267,-0.3683009525295815,-0.0043114123374713,0.003870898333016,0.0001042781345922,5.6834e+26
2451553.5,6.369833418994236,6.602966685707302,-0.3681965618296157,-0.004313622826688,0.0038681686331942,0.0001044922925224,5.6834e+26
2451554.5,6.365518705365647,6.606833530143373,-0.3680919851066305,-0.0043157977053629,0.0038655293565721,0.0001046555412354,5.6834e+26
2451555.5,6.361201833178904,6.610697781440975,-0.3679872708567895,-0.0043179539935993,0.0038629879284469,0.0001047661264197,5.6834e+26
2451556.5,6.356882803065702,6.61455952644408,-0.3678824643571649,-0.0043200972651347,0.0038605266283621,0.0001048329816004,5.6834e+26
2451557.5,6.352561600219791,6.618418898140322,-0.3677776341623699,-0.0043223456539652,0.003858229690485,0.0001048243711864,5.6834e+26
2451558.5,6.348238057424781,6.622275977921749,-0.3676728065347448,-0.0043247488355248,0.0038559225514462,0.0001048354911655,5.6834e+26
2451559.5,6.343912079037807,6.626130749779382,-0.3675679641981507,-0.0043272302886832,0.0038536216444597,0.0001048510375709,5.6834e+26
2451560.5,6.339583566287803,6.62998320076708,-0.3674630914743662,-0.0043298001649309,0.0038512761746009,0.0001048969002227,5.6834e+26
2451561.5,6.335252446384374,6.633833290622766,-0.3673581613718059,-0.0043324502594841,0.0038488870428769,0.0001049727487659,5.6834e+26
2451562.5,6.330918661338476,6.637680954824826,-0.3672531357880033,-0.0043351305646701,0.0038464400649362,0.0001050800514462,5.6834e+26
2451563.5,6.326582147796145,6.641526138286086,-0.3671479807633508,-0.0043379044787454,0.0038438945388254,0.0001052473681131,5.6834e+26
2451564.5,6.322242888292728,6.645368683879616,-0.3670426138619424,-0.0043405876018141,0.0038411901438382,0.0001054870979545,5.6834e+26
2451565.5,6.317900989394526,6.649208512335215,-0.3669370052727349,-0.0043432043759396,0.0038384525843362,0.0001057364967696,5.6834e+26
2451566.5,6.313556514555576,6.653045569788364,-0.3668311347692992,-0.0043457344680121,0.0038356600201715,0.0001060046478952,5.6834e+26
2451567.5,6.3092095507431,6.656879813580722,-0.366724989238688,-0.0043481686182623,0.0038328218755285,0.0001062866581242,5.6834e+26
2451568.5,6.304860223209518,6.660711223731014,-0.36661857145654,-0.0043504742407164,0.0038300069460268,0.0001065433436372,5.6834e+26
2451569.5,6.3005086308941,6.664539830277217,-0.3665119069623106,-0.0043526812688071,0.0038272065316951,0.0001067823084132,5.6834e+26
2451570.5,6.29615491682412,6.668365691324143,-0.3664050408224375,-0.0043547507701043,0.0038245543111279,0.0001069302353041,5.6834e+26
2451571.5,6.291799100364154,6.67218897783536,-0.3662980641134901,-0.0043568876896218,0.0038220281120463,0.0001070186689512,5.6834e+26
2451572.5,6.287441125922479,6.67600977621256,-0.3661910166894448,-0.0043590721048249,0.0038195780878717,0.0001070724828428,5.6834e+26
2451573.5,6.283080939116257,6.679828153204121,-0.3660839278128169,-0.0043613090305062,0.0038171873077698,0.0001070998604513,5.6834e+26
2451574.5,6.278718471892591,6.683644179854423,-0.3659768285954197,-0.0043636535137948,0.0038148699236166,0.0001070992563861,5.6834e+26
2451575.5,6.274353601315847,6.687457879153428,-0.365869719582243,-0.0043660891437756,0.0038125329247078,0.0001071165547938,5.6834e+26
2451576.5,6.269986241977636,6.691269263238794,-0.3657625995985565,-0.0043686650151923,0.0038102222750524,0.0001071335704196,5.6834e+26
2451577.5,6.265616240976887,6.695078273699168,-0.3656554239885691,-0.0043713351230375,0.0038077794377845,0.0001072273704276,5.6834e+26
2451578.5,6.261243574332662,6.698884796867396,-0.3655481320841806,-0.0043739991225782,0.0038052576619321,0.0001073610566017,5.6834e+26
2451579.5,6.256868242876713,6.702688766264393,-0.3654406908135501,-0.004376663590561,0.0038026757464024,0.0001075241385383,5.6834e+26
2451580.5,6.25249022918216,6.706490120168515,-0.3653330674977735,-0.0043793618762915,0.0038000028157916,0.0001077372710158,5.6834e+26
2451581.5,6.248109562689862,6.710288735915547,-0.3652252022917057,-0.0043819585326177,0.0037972288812366,0.0001079917478269,5.6834e+26
2451582.5,6.243726322890469,6.714084552782262,-0.3651170721088372,-0.004384502729924,0.0037943834255552,0.0001082776242812,5.6834e+26
2451583.5,6.239340625901547,6.71787748327999,-0.3650086440336759,-0.0043868588713541,0.0037914874545252,0.0001085701896859,5.6834e+26
2451584.5,6.234952638466775,6.721667556636838,-0.3648999502843351,-0.0043891071523102,0.0037886662984591,0.0001088124503502,5.6834e+26
